room_type,bathrooms_text,bedrooms,price
Private room,1 bath,1.0,$990.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,"$1,100.00"
Entire home/apt,1 bath,1.0,"$1,408.00"
Private room,1 bath,1.0,$454.00
Shared room,0 shared baths,1.0,$700.00
Private room,1.5 baths,1.0,$450.00
Private room,1 bath,1.0,$180.00
Hotel room,4 shared baths,1.0,$125.00
Private room,1 private bath,1.0,$370.00
Private room,Private half-bath,1.0,$650.00
Private room,1 private bath,1.0,$555.00
Private room,1 private bath,1.0,$774.00
Hotel room,1 private bath,1.0,$555.00
Private room,1 bath,1.0,$180.00
Hotel room,1 private bath,1.0,$684.00
Hotel room,1 private bath,1.0,$555.00
Hotel room,1 private bath,1.0,$555.00
Entire home/apt,3.5 baths,4.0,"$5,500.00"
Private room,1 bath,1.0,$436.00
Private room,1 shared bath,1.0,"$1,500.00"
Private room,1 bath,1.0,$360.00
Entire home/apt,2 baths,2.0,"$10,000.00"
Private room,2 baths,2.0,"$1,390.00"
Private room,1 shared bath,1.0,$180.00
Private room,1.5 baths,1.0,$325.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$217.00
Entire home/apt,1 bath,,"$1,509.00"
Private room,1 bath,1.0,$180.00
Private room,1 shared bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,,$342.00
Private room,1 bath,1.0,$217.00
Entire home/apt,1 bath,,$390.00
Entire home/apt,1 bath,2.0,"$1,300.00"
Private room,1 bath,1.0,$130.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 private bath,1.0,$558.00
Private room,1 private bath,1.0,$358.00
Private room,1 bath,1.0,$280.00
Private room,1 private bath,1.0,$400.00
Private room,1 private bath,1.0,$277.00
Private room,1 bath,1.0,$130.00
Private room,1 bath,1.0,$130.00
Private room,1 bath,1.0,$130.00
Private room,1 private bath,1.0,$130.00
Private room,1 bath,1.0,$217.00
Private room,1 bath,1.0,$295.00
Private room,1 bath,1.0,$295.00
Private room,1 private bath,1.0,"$1,150.00"
Private room,1 bath,1.0,$180.00
Private room,1 shared bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Shared room,3 shared baths,1.0,$185.00
Private room,1.5 shared baths,1.0,$392.00
Shared room,3 shared baths,1.0,$185.00
Private room,1 private bath,1.0,"$9,999.00"
Private room,1 private bath,1.0,"$9,999.00"
Entire home/apt,1 bath,1.0,$800.00
Private room,1 bath,1.0,$130.00
Private room,1 bath,1.0,$130.00
Entire home/apt,1 bath,1.0,$685.00
Private room,1 bath,1.0,$360.00
Entire home/apt,1 bath,1.0,"$1,286.00"
Private room,2 shared baths,1.0,$130.00
Private room,2 baths,1.0,$180.00
Entire home/apt,5 baths,5.0,"$2,143.00"
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,1.0,$360.00
Entire home/apt,1 bath,,$324.00
Private room,1 bath,1.0,$330.00
Private room,1 private bath,1.0,$320.00
Private room,1 private bath,1.0,$482.00
Private room,1 bath,1.0,$130.00
Private room,1.5 baths,1.0,$497.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,,$798.00
Private room,1 bath,1.0,$217.00
Private room,1 bath,1.0,$217.00
Private room,1 private bath,1.0,$482.00
Entire home/apt,1 bath,1.0,$690.00
Private room,1 bath,1.0,$130.00
Private room,1 bath,1.0,$360.00
Private room,1 private bath,1.0,$277.00
Private room,1 private bath,1.0,"$9,999.00"
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$384.00
Private room,1 bath,1.0,$400.00
Private room,1.5 baths,1.0,$130.00
Entire home/apt,1 bath,1.0,"$1,949.00"
Private room,1 bath,1.0,"$1,599.00"
Entire home/apt,1 bath,,$726.00
Entire home/apt,1 bath,1.0,"$1,119.00"
Entire home/apt,1 bath,1.0,"$1,800.00"
Entire home/apt,1 bath,,$603.00
Entire home/apt,1.5 baths,3.0,"$2,029.00"
Private room,1 bath,1.0,$180.00
Private room,1 private bath,1.0,$555.00
Entire home/apt,1 bath,,$624.00
Entire home/apt,2 baths,3.0,"$1,200.00"
Private room,1 private bath,1.0,"$11,164.00"
Private room,1 shared bath,1.0,$950.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,,$200.00
Entire home/apt,1.5 baths,2.0,$750.00
Private room,1 shared bath,1.0,$180.00
Shared room,2 shared baths,1.0,$130.00
Entire home/apt,1 bath,,$594.00
Private room,1 private bath,1.0,$140.00
Shared room,1 shared bath,1.0,$130.00
Entire home/apt,1 bath,,$410.00
Entire home/apt,1 bath,,"$1,629.00"
Entire home/apt,1 bath,1.0,$300.00
Private room,1 shared bath,1.0,$180.00
Entire home/apt,1 bath,,$557.00
Private room,1 shared bath,1.0,"$1,115.00"
Private room,1 shared bath,1.0,$180.00
Private room,1 shared bath,1.0,$180.00
Private room,Private half-bath,1.0,$264.00
Entire home/apt,1 bath,1.0,$180.00
Private room,1 shared bath,1.0,$160.00
Private room,1 private bath,1.0,"$1,422.00"
Private room,1 shared bath,1.0,$130.00
Entire home/apt,1 bath,2.0,$730.00
Private room,1 private bath,1.0,$226.00
Private room,1.5 baths,1.0,$541.00
Private room,1 shared bath,1.0,$180.00
Private room,1 shared bath,1.0,"$2,494.00"
Private room,1 shared bath,1.0,$200.00
Private room,2 shared baths,1.0,$130.00
Private room,1 private bath,1.0,$130.00
Entire home/apt,1.5 baths,,$800.00
Private room,1.5 baths,1.0,$456.00
Private room,1 shared bath,,$130.00
Private room,2 shared baths,1.0,$180.00
Private room,1 private bath,1.0,$180.00
Private room,1 shared bath,1.0,$380.00
Private room,1 private bath,1.0,$180.00
Private room,1 private bath,1.0,$130.00
Private room,1 shared bath,1.0,$130.00
Private room,1 private bath,1.0,$130.00
Private room,1 bath,1.0,$246.00
Entire home/apt,2 baths,2.0,"$1,683.00"
Private room,2 shared baths,1.0,$180.00
Private room,1 shared bath,1.0,$130.00
Private room,1 private bath,1.0,$238.00
Entire home/apt,2 baths,2.0,"$3,190.00"
Entire home/apt,2.5 baths,3.0,$650.00
Entire home/apt,1 bath,1.0,$800.00
Private room,1 private bath,1.0,$497.00
Private room,1 shared bath,1.0,$130.00
Private room,1 private bath,1.0,$328.00
Private room,1.5 baths,1.0,$402.00
Entire home/apt,2 baths,3.0,"$1,886.00"
Private room,1 private bath,1.0,$364.00
Private room,1 private bath,1.0,$600.00
Private room,1 private bath,1.0,$460.00
Private room,1 private bath,1.0,$220.00
Entire home/apt,1 bath,1.0,$928.00
Entire home/apt,1 bath,2.0,$750.00
Entire home/apt,1 bath,1.0,$540.00
Private room,1.5 baths,1.0,$411.00
Entire home/apt,1 bath,2.0,$750.00
Entire home/apt,1 bath,2.0,$880.00
Entire home/apt,1 bath,2.0,$850.00
Entire home/apt,1 bath,1.0,$529.00
Private room,1.5 shared baths,1.0,$366.00
Private room,1 bath,1.0,$130.00
Entire home/apt,1 bath,2.0,$800.00
Entire home/apt,1 bath,1.0,$700.00
Private room,1 shared bath,1.0,$180.00
Private room,1 private bath,1.0,$459.00
Hotel room,1 private bath,1.0,$292.00
Private room,1 shared bath,1.0,$238.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,2.0,"$1,030.00"
Private room,1 bath,1.0,$277.00
Private room,1 bath,1.0,$277.00
Entire home/apt,1 bath,,"$1,000.00"
Private room,1 bath,1.0,$544.00
Private room,1 private bath,1.0,$292.00
Private room,1 private bath,1.0,$292.00
Private room,1 private bath,1.0,$308.00
Private room,1 private bath,1.0,$308.00
Private room,1 private bath,1.0,$308.00
Private room,1 private bath,1.0,$383.00
Private room,1 private bath,1.0,$383.00
Private room,1 private bath,1.0,$415.00
Private room,1 private bath,1.0,$280.00
Private room,1 private bath,1.0,$292.00
Private room,1 private bath,1.0,$404.00
Shared room,3 shared baths,1.0,$185.00
Shared room,2 shared baths,1.0,$185.00
Shared room,2 shared baths,1.0,$185.00
Shared room,2 shared baths,1.0,$185.00
Shared room,2 shared baths,1.0,$185.00
Private room,1 bath,1.0,$364.00
Private room,1 bath,1.0,$387.00
Entire home/apt,1 bath,1.0,$900.00
Entire home/apt,1 bath,1.0,"$1,400.00"
Entire home/apt,1 bath,1.0,"$1,051.00"
Private room,1 bath,1.0,$464.00
Private room,2 baths,1.0,$180.00
Private room,1 bath,1.0,$217.00
Private room,1 private bath,1.0,$514.00
Entire home/apt,1 bath,2.0,$734.00
Private room,1.5 shared baths,1.0,$380.00
Entire home/apt,1 bath,1.0,$390.00
Private room,1 bath,1.0,$650.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$499.00
Private room,1 private bath,1.0,$429.00
Private room,1 private bath,1.0,$599.00
Private room,1 private bath,1.0,$799.00
Private room,1 shared bath,1.0,$699.00
Entire home/apt,1 bath,2.0,"$1,200.00"
Private room,1 shared bath,1.0,$180.00
Entire home/apt,1 bath,1.0,"$2,000.00"
Private room,1 shared bath,1.0,"$1,000.00"
Private room,2 baths,1.0,$217.00
Private room,1 shared bath,1.0,$180.00
Entire home/apt,2 baths,3.0,"$1,200.00"
Private room,1 private bath,1.0,$589.00
Private room,1 bath,1.0,$364.00
Private room,1 private bath,1.0,$360.00
Entire home/apt,1 bath,1.0,$480.00
Entire home/apt,1 bath,2.0,$709.00
Entire home/apt,1 bath,1.0,$900.00
Entire home/apt,1.5 baths,1.0,$399.00
Private room,1 bath,1.0,$180.00
Private room,1 private bath,1.0,"$1,235.00"
Private room,1.5 baths,1.0,$523.00
Private room,2 baths,1.0,$180.00
Private room,1 bath,1.0,"$1,018.00"
Private room,1 private bath,1.0,$892.00
Private room,1 bath,1.0,$180.00
Private room,2 shared baths,1.0,$180.00
Private room,1 private bath,1.0,$180.00
Entire home/apt,1 bath,1.0,$800.00
Private room,1 bath,1.0,$180.00
