amenities,quantity
"""19\"" tv with standard cable""",1
"""depends body soap""",1
"""wifi \u2013 37 mbps""",1
"""kef sound system with bluetooth and aux""",1
"""65\"" hdtv with chromecast",1
"""other electric stove""",1
"[""beach essentials""",1
"""50\"" tv with chromecast""",1
"""sonos sound system""",1
"""tv with apple tv""",1
"""hermes body soap""",1
"""harman / kardon bluetooth sound system""]",1
"""46\"" hdtv with standard cable""",1
"""52\"" hdtv with apple tv""",1
"""fast wifi \u2013 193 mbps""",1
"""i have a small oven to cook basics. it is not big enough to roast a chicken! oven""]",1
"""lp  gas gas stove""",1
"""russel  hobb oven""",1
"""pret conditioner""",1
"""pret shampoo""",1
"""50\"" hdtv with premium cable",1
"""21\"" tv""]",1
"""32\"" tv with chromecast""",1
"""booster seat high chair - available upon request""",1
"""children\u2019s books and toys for ages 0-2 years old and 2-5 years old""]",1
"""dettol handwash and lux  body soap""]",1
"""45\"" tv with netflix",1
"""fast wifi \u2013 69 mbps""",1
"""hdtv with chromecast",1
"""wifi \u2013 17 mbps""",1
"""tv with netflix",1
"""kenwood electric stove""",1
"""4 gas stainless steel stove""",1
"""gas oven and 4 hobs stainless steel oven""",1
"""samsung  sound system with bluetooth and aux""",1
"""fast wifi \u2013 95 mbps""",1
"""lg bluetooth sound system""",1
"""electrolux stainless steel induction stove""",1
"""furrion bluetooth sound system""",1
"""j&j body soap""",1
"""free dryer""]",1
"""fast wifi \u2013 183 mbps""",1
"""rosieres  stainless steel oven""",1
"""clothing storage: walk-in closet",1
"[""bathtub""",1
"""22\"" tv""",1
"""46\"" hdtv with premium cable",1
"""wifi \u2013 35 mbps""",1
"""43\"" hdtv with hulu""",1
"""24\"" hdtv with standard cable""]",1
"""24\"" hdtv with standard cable""",1
"""marshall sound system""",1
"""stainless steel stove""",1
"""conditioner conditioner""",1
"""fast wifi \u2013 228 mbps""",1
"[""gym""",1
"""harmon kardon bluetooth sound system""",1
"""b&o sound system with bluetooth and aux""",1
"""40\"" hdtv with apple tv""",1
"""wifi \u2013 21 mbps""",1
"""aeg induction stove""",1
"""55\"" tv with standard cable""",1
"""hdtv with disney+",1
"""panasonic refrigerator""]",1
"""36\"" tv with disney+",1
"""gym nearby""",1
"""wifi \u2013 9 mbps""",1
"""game console""]",1
"[""tv with netflix""",1
"""other stainless steel gas stove""",1
roku,1
"""sakura gas stove""",1
"""56\"" hdtv""",1
"""doterra  body soap""",1
"""tv with dvd player""",1
"""doterra  conditioner""",1
"""45\"" hdtv with apple tv",1
"""candy stainless steel oven""]",1
"""panasonic  induction stove""]",1
"[""outlet covers""",1
"[""43\"" hdtv with chromecast",1
