id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication
2646158,https://www.airbnb.com/rooms/2646158,,Wan Chai,22.2781,114.18333,1,$180.00,,,,,
2648857,https://www.airbnb.com/rooms/2648857,,Yau Tsim Mong,22.31968,114.16605,4,"$2,000.00",4.0,3.5,4.25,3.75,5.0
2653430,https://www.airbnb.com/rooms/2653430,,Wan Chai,22.28102,114.18248,1,$180.00,1.0,4.0,2.0,2.0,5.0
2653478,https://www.airbnb.com/rooms/2653478,,Wan Chai,22.27675,114.18003,1,$180.00,,,,,
2757546,https://www.airbnb.com/rooms/2757546,,Wan Chai,22.26772,114.1871,1,$500.00,4.25,4.5,4.5,4.25,4.88
2764689,https://www.airbnb.com/rooms/2764689,,Central & Western,22.28508,114.15398,1,$280.00,4.62,4.77,4.38,4.62,4.62
2794976,https://www.airbnb.com/rooms/2794976,"香港, 九龍, Hong Kong",Yau Tsim Mong,22.31273,114.17104,4,$857.00,4.3,4.65,4.35,4.19,4.74
2856944,https://www.airbnb.com/rooms/2856944,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.27655,114.15612,4,"$3,046.00",4.8,4.95,4.91,4.89,4.98
2868081,https://www.airbnb.com/rooms/2868081,"Hong Kong, Hong Kong Island, Hong Kong",Eastern,22.28763,114.19232,4,$700.00,5.0,5.0,4.0,5.0,4.0
2881042,https://www.airbnb.com/rooms/2881042,,Yau Tsim Mong,22.29767,114.17158,2,"$1,210.00",4.47,4.53,4.33,4.07,4.33
2881064,https://www.airbnb.com/rooms/2881064,,Yau Tsim Mong,22.29588,114.17171,2,$968.00,4.63,4.88,4.43,4.58,4.85
2909327,https://www.airbnb.com/rooms/2909327,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,22.28008,114.18609,2,$378.00,4.33,4.83,4.5,4.83,5.0
2939697,https://www.airbnb.com/rooms/2939697,,Central & Western,22.28579,114.14907,1,$180.00,,,,,
2970176,https://www.airbnb.com/rooms/2970176,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,22.27859,114.18473,2,$333.00,4.42,4.81,4.3,4.4,4.63
2970536,https://www.airbnb.com/rooms/2970536,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,22.27993,114.18438,2,$468.00,4.19,4.78,4.14,4.33,4.64
2974252,https://www.airbnb.com/rooms/2974252,,Islands,22.21306,114.02589,6,"$1,323.00",4.46,4.86,4.83,4.79,4.86
2989687,https://www.airbnb.com/rooms/2989687,,Yau Tsim Mong,22.31281,114.17039,1,$180.00,,,,,
2989858,https://www.airbnb.com/rooms/2989858,,Central & Western,22.28469,114.15372,2,$180.00,5.0,5.0,4.0,4.0,4.5
