,room_type, bathrooms_text ,bedrooms,price
1869,Private room, 1 private bath ,1,388
1870,Private room, 1 private bath ,1,248
1871,Entire home/apt, 1 bath ,1,2500
1872,Private room, 1 shared bath ,3,12500
1873,Private room, 1 private bath ,1,400
1874,Private room, 4 baths ,4,720
1875,Private room, 4 baths ,4,720
1876,Private room, 1.5 baths ,1,380
1877,Private room, 1.5 baths ,1,500
1878,Entire home/apt, 4 baths ,3,1487
1879,Private room, 1 shared bath ,1,180
1880,Entire home/apt, 1 bath ,2,1081
1881,Private room, 1 private bath ,1,481
1882,Entire home/apt, 2 baths ,2,5000
1883,Entire home/apt, 2 baths ,2,1990
1884,Private room, 1 shared bath ,1,130
1885,Private room, 1 private bath ,1,217
1886,Entire home/apt, 1 bath ,1,410
1887,Entire home/apt, 2.5 baths ,3,6000
1888,Private room, 1 shared bath ,1,180
1889,Private room, 1 shared bath ,1,180
1890,Private room, 1 shared bath ,1,180
1891,Private room, 1 shared bath ,1,180
1892,Private room, 2 shared baths ,1,180
1893,Private room, 2 shared baths ,1,180
1894,Private room, 2 shared baths ,1,180
1895,Private room, 1 shared bath ,1,460
1896,Entire home/apt, 1 bath ,1,3000
1897,Private room, 1 shared bath ,1,180
1898,Private room, Shared half-bath ,1,288
1899,Shared room, 3 shared baths ,1,172
1900,Private room, 1 shared bath ,1,180
1901,Private room, 1 shared bath ,1,180
1902,Shared room, 1 shared bath ,1,180
1903,Shared room, 1 shared bath ,1,180
1904,Shared room, 1 shared bath ,1,180
1905,Private room, 1 bath ,1,2000
1906,Entire home/apt, 1 bath ,1,3000
1907,Private room, 1 shared bath ,1,180
1908,Shared room, 1 shared bath ,1,2880
1909,Shared room, 1 shared bath ,1,180
1910,Entire home/apt, 1.5 baths ,1,690
1911,Entire home/apt, 1 bath ,1,551
1912,Entire home/apt, 1 bath ,1,541
1913,Entire home/apt, 1 bath ,2,2543
1914,Private room, 1 private bath ,1,430
1915,Private room, 1 private bath ,1,590
1916,Private room, 1 private bath ,1,490
1917,Private room, 1 private bath ,1,490
1918,Private room, 1 private bath ,1,277
1919,Private room, 1 private bath ,1,280
1920,Shared room, 1 shared bath ,1,160
1921,Private room, 1 private bath ,1,480
1922,Shared room, 1 shared bath ,1,191
1923,Private room, 1 shared bath ,1,2120
1924,Shared room, 1 shared bath ,1,657
1925,Private room, 1 shared bath ,1,329
1926,Entire home/apt, 1 bath ,3,775
1927,Shared room, 1 shared bath ,1,1200
1928,Shared room, 1 shared bath ,1,180
1929,Entire home/apt, 1 bath ,1,880
1930,Private room, 1 shared bath ,1,180
1931,Shared room, 1 shared bath ,1,180
1932,Private room, 1 shared bath ,1,180
1933,Private room, 1 shared bath ,1,180
1934,Private room, 1 shared bath ,1,180
1935,Private room, 1 shared bath ,1,180
1936,Private room, 1 bath ,1,180
1937,Entire home/apt, 1 bath ,1,684
1938,Entire home/apt, 1 bath ,1,684
1939,Private room, 1 bath ,1,180
1940,Private room, 2 baths ,1,180
1941,Entire home/apt, 1 bath ,1,517
1942,Private room, 1 bath ,1,180
1943,Private room, 1 private bath ,1,248
1944,Shared room, 1 shared bath ,1,180
1945,Private room, 1 bath ,1,130
1946,Private room, 1 bath ,1,180
1947,Private room, 1 bath ,1,140
1948,Entire home/apt, 1 bath ,1,880
1949,Private room, 1 bath ,1,180
1950,Entire home/apt, 1 bath ,3,800
1951,Private room, 1 bath ,1,180
1952,Private room, 1 shared bath ,1,323
1953,Private room, 1 shared bath ,1,180
1954,Private room, 2 shared baths ,1,180
1955,Entire home/apt, 1 bath ,1,2737
1956,Shared room, 1 shared bath ,1,180
1957,Private room, 1.5 shared baths ,1,857
1958,Shared room, 1 shared bath ,1,180
