,id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication,average_rating,price_per_person,rating_category,price_level,price_range
134,6349365.0,https://www.airbnb.com/rooms/6349365,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31681,114.16968,4,684,4.33,4.76,4.18,4.14,4.59,4.4,171.0,40,Level 2,"(120.0, 191.75]"
135,6404673.0,https://www.airbnb.com/rooms/6404673,,Yau Tsim Mong,22.32063,114.17143,2,476,4.6,5.0,4.6,4.0,4.6,4.56,238.0,40,Level 3,"(191.75, 360.625]"
136,6409693.0,https://www.airbnb.com/rooms/6409693,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31681,114.16968,2,444,4.42,4.83,4.43,4.5,4.59,4.554,222.0,40,Level 3,"(191.75, 360.625]"
137,6416090.0,https://www.airbnb.com/rooms/6416090,,Yau Tsim Mong,22.31793,114.16979,2,400,4.33,5.0,4.33,4.67,3.67,4.4,200.0,40,Level 3,"(191.75, 360.625]"
138,6427423.0,https://www.airbnb.com/rooms/6427423,,Sha Tin,22.38613,114.18676,1,1285,4.54,4.77,4.38,4.54,4.77,4.6,1285.0,60,Level 5,"(580.0, 250260.0]"
139,6458947.0,https://www.airbnb.com/rooms/6458947,"Kowloon, Hong Kong",Yau Tsim Mong,22.31677,114.16959,2,497,4.53,4.94,4.42,4.47,4.77,4.6259999999999994,248.5,60,Level 3,"(191.75, 360.625]"
140,6496401.0,https://www.airbnb.com/rooms/6496401,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.28808,114.14829,4,1336,4.58,4.84,4.76,4.73,4.91,4.764,334.0,80,Level 3,"(191.75, 360.625]"
141,6564083.0,https://www.airbnb.com/rooms/6564083,"Hong Kong, Hong Kong, kowloon, Hong Kong",Wong Tai Sin,22.33564,114.19696,4,1608,4.56,4.76,4.72,4.64,4.84,4.704,402.0,60,Level 4,"(360.625, 580.0]"
142,6581585.0,https://www.airbnb.com/rooms/6581585,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31681,114.16968,2,497,4.8,4.9,4.7,4.7,4.65,4.75,248.5,80,Level 3,"(191.75, 360.625]"
143,6664678.0,https://www.airbnb.com/rooms/6664678,,Yau Tsim Mong,22.31785,114.16981,2,343,1.0,5.0,3.0,4.0,4.0,3.4,171.5,20,Level 2,"(120.0, 191.75]"
144,6678177.0,https://www.airbnb.com/rooms/6678177,,Yau Tsim Mong,22.31841,114.17034,2,836,4.4,4.6,4.2,4.4,4.4,4.4,418.0,40,Level 4,"(360.625, 580.0]"
145,6722851.0,https://www.airbnb.com/rooms/6722851,"Hong Kong, Hong Kong, jordan, Hong Kong",Yau Tsim Mong,22.30787,114.16555,1,144,4.44,4.56,4.28,4.43,4.44,4.430000000000001,144.0,40,Level 2,"(120.0, 191.75]"
146,6770407.0,https://www.airbnb.com/rooms/6770407,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.30699,114.16571,1,314,4.22,4.38,4.02,4.17,4.2,4.1979999999999995,314.0,40,Level 3,"(191.75, 360.625]"
147,6770795.0,https://www.airbnb.com/rooms/6770795,"Hong Kong, Hong Kong, Hong Kong",Yau Tsim Mong,22.30804,114.16636,1,286,4.33,4.51,4.09,4.34,4.26,4.306,286.0,40,Level 3,"(191.75, 360.625]"
148,6771249.0,https://www.airbnb.com/rooms/6771249,"Hong Kong, Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.30676,114.16686,1,236,4.5,4.55,4.37,4.61,4.71,4.548,236.0,40,Level 3,"(191.75, 360.625]"
149,6823609.0,https://www.airbnb.com/rooms/6823609,,Yau Tsim Mong,22.31859,114.17121,5,693,5.0,5.0,5.0,4.0,5.0,4.8,138.6,80,Level 2,"(120.0, 191.75]"
150,6823719.0,https://www.airbnb.com/rooms/6823719,,Yau Tsim Mong,22.31639,114.16977,2,493,4.68,4.95,4.63,4.84,4.79,4.778,246.5,80,Level 3,"(191.75, 360.625]"
